740,0,0
625,8,0
751,13,0
175,20,0
241,26,0
315,32,0
904,39,0
560,46,0
593,51,0
134,58,0
17,65,0
420,71,0
521,77,0
632,83,0
424,89,0
469,95,0
869,101,0
889,107,0
896,112,0
374,118,0
57,124,0
191,129,0
412,134,0
668,139,0
708,144,0
753,150,0
59,155,0
476,161,0
234,166,0
675,171,0
451,178,0
518,185,0
654,189,0
867,172,3
98,191,3
365,179,3
840,34,4
295,0,3
765,77,4
215,20,3
222,87,3
302,116,3
368,144,3
377,42,3
380,51,4
388,28,4
422,108,3
583,62,4
653,94,3
685,14,5
754,56,5
844,68,4
873,155,4
50,167,4
242,4,5
317,99,5
383,119,5
450,126,5
667,160,5
709,24,6
779,138,5
784,73,6
861,183,5
66,37,6
236,88,5
277,43,6
355,78,6
363,111,5
427,194,5
701,131,6
750,148,6
836,189,6
841,83,7
184,60,6
187,104,7
326,172,7
426,178,6
281,48,7
442,18,8
882,30,7
75,66,8
150,153,7
150,4,8
350,10,8
510,53,7
676,91,8
692,112,8
82,167,8
159,35,10
288,121,9
410,138,8
479,97,8
529,161,9
563,63,10
696,41,9
730,76,10
760,24,9
819,116,10
826,194,9
42,128,8
122,145,10
158,132,10
174,152,10
177,184,9
238,1,11
285,85,10
407,11,11
421,48,11
704,71,9
726,54,11
757,102,10
843,108,9
875,139,11
885,174,9
12,31,11
55,178,10
133,158,10
480,168,10
574,91,12
588,19,12
901,64,11
97,190,11
139,7,11
239,40,12
526,112,11
684,124,10
822,59,12
228,82,12
58,118,12
283,99,13
320,162,13
614,182,13
688,134,13
716,147,13
770,25,14
2,48,14
199,33,14
396,75,14
232,0,15
749,156,12
31,194,12
109,68,13
109,128,13
141,16,14
169,86,14
223,106,14
240,141,14
245,172,14
265,11,15
278,54,14
331,162,14
364,179,14
433,65,15
433,72,15
449,93,15
474,43,14
495,98,15
505,187,14
505,36,15
559,115,15
559,120,15
559,132,15
575,150,15
575,195,15
575,21,16
579,26,16
579,48,16
609,78,16
613,103,16
626,125,16
628,136,16
725,167,16
812,143,16
813,5,17
813,31,17
830,41,17
4,111,16
7,87,17
9,60,17
15,53,17
22,158,16
37,183,16
84,82,17
137,130,17
147,175,17
165,148,17
165,191,17
178,9,17
179,97,17
198,0,18
233,16,18
244,23,18
253,46,18
318,162,17
321,69,18
328,107,18
349,116,18
351,91,18
351,101,18
376,137,18
397,124,18
397,166,18
402,153,18
446,65,18
446,74,18
465,27,19
486,35,19
492,142,19
527,171,18
527,187,18
530,40,20
531,195,19
534,181,19
534,51,20
541,13,21
555,57,19
571,78,19
582,4,20
582,84,20
589,46,19
601,95,20
621,177,19
634,128,20
671,120,19
691,110,21
720,20,21
744,133,21
755,147,21
756,31,20
762,0,21
775,152,21
781,60,20
798,89,21
803,158,20
807,115,21
811,99,21
835,167,21
838,190,21
860,67,21
879,9,22
883,138,21
894,104,21
21,35,22
34,55,22
44,143,22
54,72,22
68,25,22
79,123,22
119,77,22
120,161,22
121,173,22
129,30,22
140,196,0
152,184,21
163,41,23
170,4,23
201,50,23
201,83,23
282,108,23
299,129,23
307,180,23
308,94,23
314,194,23
361,153,23
385,119,23
405,62,23
408,16,23
462,100,24
483,134,24
488,45,24
678,88,24
680,20,25
700,166,24
783,188,24
789,8,24
809,67,25
821,56,25
834,147,23
842,105,24
899,24,25
907,112,25
46,123,25
131,139,25
146,158,25
146,171,25
189,12,26
225,176,25
272,36,25
379,52,25
444,0,26
467,30,26
506,78,25
569,40,26
576,116,26
580,127,26
627,98,26
235,83,26
280,162,26
371,93,26
545,193,25
718,61,27
855,72,26
43,150,27
763,184,27
69,131,27
112,25,12
123,144,27
226,17,28
259,46,27
340,25,28
415,53,28
473,5,28
537,87,28
548,104,28
562,45,29
562,66,29
703,190,28
703,77,29
705,98,29
711,167,28
732,33,29
739,178,29
837,9,29
837,57,29
837,109,29
52,72,30
56,134,29
74,122,29
176,155,29
332,140,29
341,0,30
352,18,30
438,24,30
468,39,30
496,84,30
564,186,29
607,115,30
619,146,30
679,194,29
713,128,30
742,160,30
776,171,30
787,8,31
814,30,31
850,51,31
890,59,31
157,102,30
354,89,31
389,65,31
464,43,32
610,23,32
695,78,32
870,95,31
886,108,32
205,15,30
251,166,30
313,119,32
443,153,31
463,177,31
597,35,32
697,125,32
778,191,30
432,134,31
458,137,32
665,49,32
759,55,32
769,70,32
565,183,31
0,4,31
0,85,32
0,143,32
0,147,32
20,161,32
20,169,32
20,186,32
20,194,32
20,0,33
23,18,33
23,65,33
35,115,32
77,6,33
77,27,33
77,39,33
77,74,33
91,101,33
99,11,33
99,79,33
99,105,33
99,130,33
99,151,33
99,173,33
99,31,34
145,60,33
148,43,34
148,89,34
171,93,34
171,97,34
171,138,34
172,155,34
196,177,34
196,19,35
216,111,34
216,122,34
257,23,35
257,35,35
257,69,35
257,117,35
257,126,35
284,164,34
284,59,35
284,63,35
284,82,35
289,142,35
289,146,35
289,3,36
289,9,36
289,14,36
293,51,36
293,77,36
293,86,36
293,98,36
293,106,36
293,112,36
293,134,36
293,152,36
390,159,36
390,168,36
390,174,36
390,185,36
391,40,36
404,196,35
404,189,36
404,26,37
